coll_nom;coll_siret;code_commune;commune_nom;code_secteur;secteur_nom;code_iris;iris_nom;code_batiment;code_rivoli;voie_nom;code_site;id_nid;protocole;nid_support;nid_espece;nid_traite;nid_nb;nid_nb_oeuf;nid_nb_poussin;annee;long_rgf93cc48;lat_rgf93cc48;long;lat;source;date_der_maj;geo_shape;geo_point_2d
Ville de Lorient;21560121200016;56121;Lorient;2;Keroman - Merville - Nouvelle ville;561210905;Nouvelle Ville;BATIMENT0000000290412165;56121_2260;Rue Léon Gambetta;354;295;Stérilisation;Cheminée;Argenté;Oui;1;2.0;0.0;2017;1223118.7044;7191377.3998;-3.3668072230000194;47.745232812000005;Ville de Lorient;2017-05-16;"{""coordinates"": [-3.3668072228582147, 47.74523281178556], ""type"": ""Point""}";47.74523281178556, -3.3668072228582147
Ville de Lorient;21560121200016;56121;Lorient;5;Bois-du-château - Le Rouho - Le Manio - Kerentrech;561210401;Paul Guieysse;BATIMENT0000000290416019;56121_4320;Rue Paul Guieysse;506;428;Stérilisation;Toit pentu;Argenté;ND;1;3.0;0.0;2017;1223243.1077;7192668.1156;-3.36657365299999;47.756895102;Ville de Lorient;2017-05-19;"{""coordinates"": [-3.3665736528751755, 47.75689510154078], ""type"": ""Point""}";47.75689510154078, -3.3665736528751755
Ville de Lorient;21560121200016;56121;Lorient;3;Kervénanec - Le Ter - Lanveur;561210302;Hôpital Kerforn;BATIMENT0000000290413783;56121_5515;Rue de la Villeneuve;184;141;Stérilisation;Toit plat;Argenté;Oui;1;2.0;0.0;2017;1222213.9127;7192113.3824;-3.3796432579999895;47.751158135;Ville de Lorient;2017-05-10;"{""coordinates"": [-3.379643258307784, 47.75115813517151], ""type"": ""Point""}";47.75115813517151, -3.379643258307784
Ville de Lorient;21560121200016;56121;Lorient;1;Centre-ville;561210103;L'Orientis;BATIMENT0000000290417077;56121_0860;Rue Jean-Baptiste Chaigneau;486;401;Stérilisation;Toit plat;Argenté;Oui;1;2.0;1.0;2017;1223825.5175;7192338.7108;-3.358469474;47.754374132;Ville de Lorient;2017-05-18;"{""coordinates"": [-3.3584694742879857, 47.754374131678034], ""type"": ""Point""}";47.754374131678034, -3.3584694742879857
Ville de Lorient;21560121200016;56121;Lorient;2;Keroman - Merville - Nouvelle ville;561210905;Nouvelle Ville;BATIMENT0000000290412912;56121_3499;Rue Lazare Carnot;378;329;Stérilisation;Toit plat;Argenté;Oui;1;2.0;0.0;2017;1223526.0483;7191006.6081;-3.360985949;47.742211111;Ville de Lorient;2017-05-16;"{""coordinates"": [-3.360985948542181, 47.742211110973244], ""type"": ""Point""}";47.742211110973244, -3.360985948542181
Ville de Lorient;21560121200016;56121;Lorient;2;Keroman - Merville - Nouvelle ville;561210902;Merville;BATIMENT0000000290408587;56121_1740;Boulevard Édouard Herriot;202;149;Stérilisation;Toit plat;Argenté;Non;1;2.0;0.0;2017;1222077.2351;7191262.6365;-3.38052195199998;47.743430528000005;Ville de Lorient;2017-05-10;"{""coordinates"": [-3.380521952248826, 47.74343052752976], ""type"": ""Point""}";47.74343052752976, -3.380521952248826
Ville de Lorient;21560121200016;56121;Lorient;5;Bois-du-château - Le Rouho - Le Manio - Kerentrech;561210403;Étienne Dolet;BATIMENT0000000290417742;56121_3710;Rue madame de Sévigné;352;294;Stérilisation;Cheminée;Argenté;Oui;1;3.0;0.0;2017;1222673.7616;7193101.4538;-3.3746194529999802;47.760356852;Ville de Lorient;2017-05-16;"{""coordinates"": [-3.374619453081613, 47.76035685211592], ""type"": ""Point""}";47.76035685211592, -3.374619453081613
Ville de Lorient;21560121200016;56121;Lorient;3;Kervénanec - Le Ter - Lanveur;561210701;Kervenanec Nord;BATIMENT0000000290403205;56121_1455;Rue du 19 mars 1962;508;427;Stérilisation;Toit plat;Argenté;Oui;1;1.0;0.0;2017;1221182.2558;7191296.1999;-3.392452832;47.743065303;Ville de Lorient;2017-05-29;"{""coordinates"": [-3.3924528317755054, 47.74306530333143], ""type"": ""Point""}";47.74306530333143, -3.3924528317755054
Ville de Lorient;21560121200016;56121;Lorient;2;Keroman - Merville - Nouvelle ville;561210902;Merville;BATIMENT0000000290409297;56121_4820;Rue Gustave Ratier;206;151;Stérilisation;Toit plat;Argenté;Oui;1;3.0;0.0;2017;1222334.9128;7191141.6097;-3.37696414999999;47.742537198;Ville de Lorient;2017-05-10;"{""coordinates"": [-3.3769641502343655, 47.7425371976196], ""type"": ""Point""}";47.7425371976196, -3.3769641502343655
Ville de Lorient;21560121200016;56121;Lorient;3;Kervénanec - Le Ter - Lanveur;561210302;Hôpital Kerforn;BATIMENT0000000290414037;56121_2550;Rue Henri Dunant;607;522;Stérilisation;Toit plat;Argenté;Oui;1;2.0;0.0;2017;1222384.8319;7192157.1858;-3.37741972800001;47.751677831;Ville de Lorient;2017-05-23;"{""coordinates"": [-3.377419727508983, 47.751677831252984], ""type"": ""Point""}";47.751677831252984, -3.377419727508983
